component,type,name,weight
1,light_regime,1min-1min,0.0
1,light_regime,30s-30s,1.0
1,light_regime,20h_HL,0.0
1,light_regime,20h_ML,0.0
1,light_regime,2h-2h,0.0
1,light_regime,10min-10min,0.0
1,light_regime,5min-5min,0.0
1,light_regime,1min-5min,0.0
1,gene,Cre01.g008200,0.0063071785698224
1,gene,Cre01.g012150,0.0593832319610933
1,gene,Cre01.g012650,0.0877527941181872
1,gene,Cre01.g015200,0.0273906096542524
1,gene,Cre01.g016556,0.0097026192958587
1,gene,Cre01.g017200,0.0131431937973844
1,gene,Cre01.g018700,0.0165505800208068
1,gene,Cre01.g019550,0.0106714841743555
1,gene,Cre01.g019750,0.0231677684374108
1,gene,Cre01.g019850,0.0008387143998738
1,gene,Cre01.g022900,0.0104206473400041
1,gene,Cre01.g024800,0.0502575820372419
1,gene,Cre01.g025400,0.1019952090077919
1,gene,Cre01.g025450,0.0014563763858461
1,gene,Cre01.g025500,0.0014563763858461
1,gene,Cre01.g032850,0.0541520125119796
1,gene,Cre01.g033450,0.0072812539369625
1,gene,Cre01.g033700,0.0008488974287126
1,gene,Cre01.g034150,0.023415741143297
1,gene,Cre01.g034500,0.0355649165374958
1,gene,Cre01.g036100,0.0661577937255091
1,gene,Cre01.g039550,0.0383619509206328
1,gene,Cre01.g040250,0.007881979499939
1,gene,Cre01.g045500,0.0043225352567248
1,gene,Cre01.g049900,0.0070763817300733
1,gene,Cre01.g055000,0.069753304006649
1,gene,Cre01.g064727,0.0082678705223968
1,gene,Cre02.g076200,0.0161756899749588
1,gene,Cre02.g095058,0.0528842302740963
1,gene,Cre02.g095081,0.1210328472662169
1,gene,Cre02.g095115,0.2287547275913242
1,gene,Cre02.g095125,0.0008367171641323
1,gene,Cre02.g095126,0.0663284325352719
1,gene,Cre02.g095137,0.0461348914816611
1,gene,Cre02.g098350,0.0179983290034788
1,gene,Cre02.g105150,0.0181953965630705
1,gene,Cre02.g108500,0.0611329767411195
1,gene,Cre02.g113500,0.040938987208102
1,gene,Cre02.g113850,0.0152584493748547
1,gene,Cre02.g119050,0.0017534026682873
1,gene,Cre02.g119100,0.0010168249490672
1,gene,Cre03.g153400,0.0083685122294313
1,gene,Cre03.g165000,0.039318690933632
1,gene,Cre03.g168900,0.025350561916069
1,gene,Cre03.g183150,0.0112232309002966
1,gene,Cre03.g185500,0.0275995642593758
1,gene,Cre03.g191250,0.0123073268400085
1,gene,Cre03.g191850,0.0081771283101307
1,gene,Cre03.g192550,0.0520864087837904
1,gene,Cre03.g197750,0.0125423896720011
1,gene,Cre03.g206202,0.0046646969290345
1,gene,Cre04.g213652,0.2031994191434358
1,gene,Cre04.g214501,0.1412598876918783
1,gene,Cre04.g215800,0.0578918041149834
1,gene,Cre04.g219700,0.0552164843350315
1,gene,Cre04.g224150,0.0393534419396783
1,gene,Cre04.g229163,0.3033256481771631
1,gene,Cre05.g236100,0.0463241601634572
1,gene,Cre05.g243802,0.0439598161402015
1,gene,Cre05.g245351,0.0998918258649023
1,gene,Cre05.g248250,0.2687231525595596
1,gene,Cre06.g251050,0.0198808169129521
1,gene,Cre06.g256300,0.0227952184886987
1,gene,Cre06.g257600,0.0189779839655535
1,gene,Cre06.g259950,0.0172891840356537
1,gene,Cre06.g260550,0.004865953859811
1,gene,Cre06.g269801,0.0136419120068532
1,gene,Cre06.g270450,0.0209080238025335
1,gene,Cre06.g274400,0.0555458652347359
1,gene,Cre06.g278119,0.0004918349733336
1,gene,Cre06.g278120,0.0004918349733336
1,gene,Cre06.g278187,0.0005153822132892
1,gene,Cre06.g278195,0.019540079611785
1,gene,Cre06.g278219,0.0135630633828273
1,gene,Cre06.g278235,0.0079219678446626
1,gene,Cre06.g285900,0.029998182179445
1,gene,Cre06.g295050,0.0659315144516397
1,gene,Cre06.g295600,0.0111343091180959
1,gene,Cre06.g298500,0.0045906943863422
1,gene,Cre06.g302250,0.0215530423933449
1,gene,Cre07.g314800,0.0116752778202905
1,gene,Cre07.g317450,0.0338201129523818
1,gene,Cre07.g323450,0.039758622730711
1,gene,Cre07.g326800,0.0210768100391888
1,gene,Cre07.g330200,0.0044261023047329
1,gene,Cre07.g332300,0.0021962495682221
1,gene,Cre07.g334950,0.0197636924173691
1,gene,Cre07.g337582,0.0043371389359363
1,gene,Cre07.g339104,0.0095268888824788
1,gene,Cre07.g352950,0.0007031885088748
1,gene,Cre07.g355650,0.0301080149500855
1,gene,Cre07.g356850,0.0364567789363578
1,gene,Cre08.g358568,0.015848598864957
1,gene,Cre08.g358571,0.1706405078854151
1,gene,Cre08.g362000,0.0046059761027943
1,gene,Cre08.g367350,0.0882220620987081
1,gene,Cre08.g372100,0.0422742727875594
1,gene,Cre08.g374250,0.0338220187574457
1,gene,Cre08.g374450,0.0088010552558825
1,gene,Cre08.g382620,0.0321805653126747
1,gene,Cre09.g386850,0.1523946455962504
1,gene,Cre09.g388050,0.01366437274974
1,gene,Cre09.g389578,0.0066259715137409
1,gene,Cre09.g389912,0.047581415831336
1,gene,Cre09.g390541,0.0196867101143102
1,gene,Cre09.g392650,0.019537204701574
1,gene,Cre09.g393000,0.1424381582321043
1,gene,Cre09.g396028,0.0488673828240134
1,gene,Cre09.g397216,0.0059362492353687
1,gene,Cre09.g398200,0.0112811635180941
1,gene,Cre09.g399663,0.0486240603641324
1,gene,Cre09.g400849,0.0365900418824825
1,gene,Cre09.g407150,0.027116240058346
1,gene,Cre09.g412150,0.05861088691199
1,gene,Cre09.g412600,0.0714885296332549
1,gene,Cre09.g413850,0.0224925461382529
1,gene,Cre10.g425100,0.0206261357146561
1,gene,Cre10.g430200,0.046825168380371
1,gene,Cre10.g431250,0.000351463706731
1,gene,Cre10.g432600,0.0046909279627934
1,gene,Cre10.g436000,0.044835047186886
1,gene,Cre10.g437300,0.0264969228765292
1,gene,Cre10.g441150,0.0033337146299497
1,gene,Cre10.g445000,0.0096125723004594
1,gene,Cre10.g445800,0.0476509143919254
1,gene,Cre10.g447350,0.021412890786191
1,gene,Cre10.g451752,0.0169607004642755
1,gene,Cre10.g465300,0.0358594420492756
1,gene,Cre10.g465650,0.0081417206372423
1,gene,Cre11.g467610,0.0040262380685047
1,gene,Cre11.g467742,0.017347931216565
1,gene,Cre11.g476050,0.0164120055389784
1,gene,Cre11.g482101,0.0172714194576505
1,gene,Cre12.g488850,0.0083173959129733
1,gene,Cre12.g489250,0.0096862323047005
1,gene,Cre12.g489300,0.0096862323047005
1,gene,Cre12.g489500,0.0131402607597053
1,gene,Cre12.g493050,0.0146777644887433
1,gene,Cre12.g495175,0.002198395286667
1,gene,Cre12.g495250,0.0252173868540376
1,gene,Cre12.g496900,0.0066598003557553
